ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
AmamiAsama-1_firen-1,,AmamiAsama,1_firen,Ɂmatsɨ,Ɂmatsɨ,ʔ m a ts ɨ,,,1,,^ Ɂ m a ts ɨ $,default
AmamiYamatohama-1_firen-1,,AmamiYamatohama,1_firen,μacï,μacï,μ/m a c/ts ï/ɨ,,,1,,^ μ a c ï $,default
AmamiYoron-1_firen-1,,AmamiYoron,1_firen,maci,maci,m a c/ts i,,,1,,^ m a c i $,default
MiyakoIrabu-1_firen-1,,MiyakoIrabu,1_firen,umacï,umacï,u m a c/ts ï/ɨ,,,1,,^ u m a c ï $,default
Fukuoka-1_firen-1,,Fukuoka,1_firen,hi,hi,h i,,,2,,^ h i $,default
Gangwon-1_firen-1,,Gangwon,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
Gyeonggi-1_firen-1,,Gyeonggi,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
Hachijo-1_firen-1,,Hachijo,1_firen,hi,hi,h i,,,2,,^ h i $,default
Hwanghae-1_firen-1,,Hwanghae,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
Japanese-1_firen-1,,Japanese,1_firen,hi,hi,h i,,,2,,^ h i $,default
Jeju-1_firen-1,,Jeju,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
Kagoshima-1_firen-1,,Kagoshima,1_firen,hi,hi,h i,,,2,,^ h i $,default
Korean-1_firen-1,,Korean,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
Koshikiislands-1_firen-1,,Koshikiislands,1_firen,hi,hi,h i,,,2,,^ h i $,default
Kumamoto-1_firen-1,,Kumamoto,1_firen,hiː,hiː,h iː,,,2,,^ h iː $,default
LateMiddleKorean-1_firen-1,,LateMiddleKorean,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
NorthernChungcheong-1_firen-1,,NorthernChungcheong,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
NorthernGyeongsang-1_firen-1,,NorthernGyeongsang,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
NorthernHamgyong-1_firen-1,,NorthernHamgyong,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
NorthernJeolla-1_firen-1,,NorthernJeolla,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
NorthernPyongan-1_firen-1,,NorthernPyongan,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
OkinawaShuri-1_firen-1,,OkinawaShuri,1_firen,hwii,hwii,hw/hʷ iː,,,2,,^ hw ii $,default
OkinawaYonamine-1_firen-1,,OkinawaYonamine,1_firen,πii,πii,π/p iː,,,2,,^ π ii $,default
SouthernChungcheong-1_firen-1,,SouthernChungcheong,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
SouthernGyeongsang-1_firen-1,,SouthernGyeongsang,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
SouthernHamgyong-1_firen-1,,SouthernHamgyong,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
SouthernJeolla-1_firen-1,,SouthernJeolla,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
SouthernPyongan-1_firen-1,,SouthernPyongan,1_firen,pwul,pwul,p w u l,,,2,,^ pw u l $,default
YaeyamaHatoma-1_firen-1,,YaeyamaHatoma,1_firen,pii,pii,p iː,,,2,,^ p ii $,default
YaeyamaIshigaki-1_firen-1,,YaeyamaIshigaki,1_firen,pïï,pïï,p ïï/ɨː,,,2,,^ p ïï $,default
Yonaguni-1_firen-1,,Yonaguni,1_firen,ccìi,ccìi,cc/tsː ì/i i,,,2,,^ cc ì i $,default
