ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,InAnalysis
AmamiAsama,Amami Asama,toku1246,Toku-No-Shima,tkn,Eurasia,27.49,128.55,Japonic,1
AmamiYamatohama,Amami Yamatohama,sout2954,Southern Amami-Oshima,ams,Eurasia,28.19,129.21,Japonic,1
AmamiYoron,Amami Yoron,yoro1243,Yoron,yox,Eurasia,27.22,128.34,Japonic,1
Azeri,Azeri,nort2697,North Azerbaijani,azj,Eurasia,40.98,46.47,Turkic,1
Baoan,Baoan,baoa1237,Baoanic,,,35.7,103,Mongolic,1
BarabaTatar,BarabaTatar,bara1408,,,,57.49,72.56,Turkic,1
Bashkir,Bashkir,bash1264,Bashkir,bak,Eurasia,53.6,56.56,Turkic,1
Buriat,Buriat,buri1258,Buriat,bua,Eurasia,48.77,109,Mongolic,1
Chuvash,Chuvash,chuv1255,Chuvash,chv,Eurasia,55.49,47.16,Turkic,1
CodexCumanicus,CodexCumanicus,,,qwm,,51.1,71.26,Turkic,1
CrimeanTatar,CrimeanTatar,crim1256,Crimean Tatar-Urum,,,45,34.08,Turkic,1
Dagur,Dagur,daur1238,Dagur,dta,Eurasia,48,124,Mongolic,1
Dolgan,Dolgan,dolg1241,Dolgan,dlg,Eurasia,71.11,94.29,Turkic,1
Dongxian,Dongxian,dong1285,Dongxiang,sce,Eurasia,35.58,103.56,Mongolic,1
Even,Even,even1260,Even,eve,Eurasia,70.67,130.91,Tungusic,1
EvenkiKamnigan,Evenki (Khamnigan),chen1257,Borzya Khamnigan Evenki,,Eurasia,49.3,119.8,Tungusic,1
Fukuoka,Fukuoka,,,jpn,,33.35,130.24,Japonic,1
Gagauz,Gagauz,gaga1249,Gagauz,gag,Eurasia,44.6,28.03,Turkic,1
Gangwon,Gangwon,,,kor,,37.52,127.44,Koreanic,1
Gyeonggi,Gyeonggi,seou1239,Seoul,kor,Eurasia,37.5,128,Koreanic,1
Hachijo,Hachijo,hach1239,Hachijo,,Eurasia,33.06,139.47,Japonic,1
Hezhe,Hezhe,sung1269,Sunggari,,Eurasia,47.93,132.84,Tungusic,1
Huzhu,Huzhu,huzh1238,Huzhu,mjg,Eurasia,36.51,102.06,Mongolic,1
Hwanghae,Hwanghae,hwan1238,Hwanghaedo,kor,Eurasia,38.59,126.33,Koreanic,1
Japanese,Japanese,,,jpn,,35,135,Japonic,1
Jeju,Jeju,jeju1234,Jejueo,kor,Eurasia,33.38,126.56,Koreanic,1
Jurchen,Jurchen,jurc1239,Jurchen,juc,Eurasia,44.41,126.87,Tungusic,1
Kagoshima,Kagoshima,sats1242,Satsuma-ben,jpn,Eurasia,31.36,130.33,Japonic,1
Kalmyck,Kalmyck,kalm1244,Kalmyk,,Eurasia,46.21,48.03,Mongolic,1
Kamnigan,Khamnigan,kham1281,Khamnigan Mongol,,Eurasia,49.29,119.8,Mongolic,1
Kangjia,Kangjia,kang1281,Kangjia,kxs,Eurasia,35.04,101.25,Mongolic,1
KarachayBalkar,KarachayBalkar,kara1465,Karachay-Balkar,krc,Eurasia,39.98,63.32,Turkic,1
Karaim,Karaim,kara1464,Karaim,kdr,Eurasia,43.56,42.26,Turkic,1
