Grapheme	IPA	Frequence	Codepoints
	NULL	1	U+0005
'	'/ʔ	22	U+0027
'_s	+ s	1	U+0027 U+005f U+0073
'a	a	29	U+0027 U+0061
'aa	ʔ aː	4	U+0027 U+0061 U+0061
'd	d	3	U+0027 U+0064
'e	ʔ e	4	U+0027 U+0065
'e:	ʔ eː	4	U+0027 U+0065 U+003a
'g	ˀg	3	U+0027 U+0067
'h	h	1	U+0027 U+0068
'i	ʔ i	4	U+0027 U+0069
'ie	i/j e	1	U+0027 U+0069 U+0065
'k	ˀk	3	U+0027 U+006b
'm	ˀm	2	U+0027 U+006d
'o	ʔ o	1	U+0027 U+006f
'oo	oː	1	U+0027 U+006f U+006f
'r	r	1	U+0027 U+0072
's	ˀs	2	U+0027 U+0073
'u	u	9	U+0027 U+0075
'u:	ʔ uː	3	U+0027 U+0075 U+003a
'x	x	1	U+0027 U+0078
'y	'y/ˀj	1	U+0027 U+0079
'ès	'/ʔ è/e s	1	U+0027 U+00e8 U+0073
'ï	ï/ɨ	7	U+0027 U+00ef
'ö	'/ʔ ö/œ	1	U+0027 U+00f6
'ü	ü/y	5	U+0027 U+00fc
'ü:	üː/yː	3	U+0027 U+00fc U+003a
'üs	'/ʔ ü/y s	1	U+0027 U+00fc U+0073
'č	'č/ˀtʃ	2	U+0027 U+010d
'ǰ	'ǰ/ˀdʒ	1	U+0027 U+01f0
'ɣ	ˀɣ	2	U+0027 U+0263
'ж	'ж/ˀʒ	1	U+0027 U+0436
*	NULL	2	U+002a
+	+	18	U+002b
+$	NULL
-	+	4995	U+002d
-$	NULL
-_	+
-_$	NULL
.	+	84	U+002e
.$	NULL
1	NULL	2	U+0031
2	NULL	1	U+0032
<	NULL	1	U+003c
=	+	4	U+003d
=$	NULL
--$	NULL
=-$	NULL
^?_	NULL
?	?/ʔ	74	U+003f
??	NULL	1	U+003f U+003f
A	A/a	70	U+0041
B	B/ʙ	1	U+0042
C	C/ts	12	U+0043
D	D/d	1	U+0044
E	E/e	4	U+0045
G	ɢ	104	U+0047
GG	ɢː	1	U+0047 U+0047
Gs	ɢ s	1	U+0047 U+0073
Gɕ	G/ɢ ɕ	1	U+0047 U+0255
Gʃ	G/ɢ ʃ	1	U+0047 U+0283
K	K/q	16	U+004b
Kw	K/q w	2	U+004b U+0077
O	O/o	13	U+004f
Os	O/o s	1	U+004f U+0073
S	S/s	4	U+0053
T	T/t	4	U+0054
U	U/u	1	U+0055
V	V/v	3	U+0056
^+	NULL
^-	NULL
^-_	NULL
^.	NULL
